fips,state,county,flu_vax_pct,flu_vax_pct_black,flu_vax_pct_hispanic,flu_vax_pct_white
01001,Alabama,Autauga,41,32,36,42
01003,Alabama,Baldwin,45,33,35,46
01005,Alabama,Barbour,37,33,,38
01007,Alabama,Bibb,39,28,,41
01009,Alabama,Blount,38,19,24,39
01011,Alabama,Bullock,26,23,,32
01013,Alabama,Butler,35,27,,38
01015,Alabama,Calhoun,38,26,25,40
01017,Alabama,Chambers,43,31,,48
01019,Alabama,Cherokee,43,32,,43
01021,Alabama,Chilton,40,31,46,40
01023,Alabama,Choctaw,36,25,,42
01025,Alabama,Clarke,29,24,,31
01027,Alabama,Clay,41,24,45,43
01029,Alabama,Cleburne,35,33,,36
01031,Alabama,Coffee,41,34,24,43
01033,Alabama,Colbert,47,42,29,47
01035,Alabama,Conecuh,44,38,,47
01037,Alabama,Coosa,39,30,,41
01039,Alabama,Covington,44,29,55,45
01041,Alabama,Crenshaw,37,25,,39
01043,Alabama,Cullman,41,32,31,41
01045,Alabama,Dale,43,35,36,45
01047,Alabama,Dallas,34,27,,42
01049,Alabama,DeKalb,42,22,36,42
01051,Alabama,Elmore,40,33,,41
01053,Alabama,Escambia,35,26,,38
01055,Alabama,Etowah,36,25,38,37
01057,Alabama,Fayette,44,38,,45
01059,Alabama,Franklin,38,21,21,39
01061,Alabama,Geneva,46,36,34,47
01063,Alabama,Greene,28,23,,41
01065,Alabama,Hale,33,21,,44
01067,Alabama,Henry,42,30,,46
01069,Alabama,Houston,45,34,36,48
01071,Alabama,Jackson,43,34,30,43
01073,Alabama,Jefferson,43,33,33,47
01075,Alabama,Lamar,42,27,,44
01077,Alabama,Lauderdale,51,38,39,52
01079,Alabama,Lawrence,39,29,,41
01081,Alabama,Lee,45,32,31,49
01083,Alabama,Limestone,44,34,28,45
01085,Alabama,Lowndes,36,29,,45
01087,Alabama,Macon,33,30,,44
01089,Alabama,Madison,44,32,35,47
01091,Alabama,Marengo,32,22,,41
01093,Alabama,Marion,39,36,,39
01095,Alabama,Marshall,45,40,21,45
01097,Alabama,Mobile,42,33,32,45
01099,Alabama,Monroe,38,24,,44
01101,Alabama,Montgomery,39,32,32,43
01103,Alabama,Morgan,44,30,28,45
01105,Alabama,Perry,24,18,,34
01107,Alabama,Pickens,42,33,,46
01109,Alabama,Pike,39,27,,43
01111,Alabama,Randolph,32,28,25,33
01113,Alabama,Russell,41,35,37,43
01115,Alabama,St. Clair,39,33,26,40
01117,Alabama,Shelby,43,32,29,44
01119,Alabama,Sumter,29,24,,38
01121,Alabama,Talladega,35,26,,37
01123,Alabama,Tallapoosa,44,33,47,47
01125,Alabama,Tuscaloosa,46,36,48,50
01127,Alabama,Walker,42,34,,42
01129,Alabama,Washington,25,23,,26
01131,Alabama,Wilcox,24,19,,31
01133,Alabama,Winston,41,,,
02013,Alaska,Aleutians East,,,,
02016,Alaska,Aleutians West,,,,
02020,Alaska,Anchorage,36,24,32,37
02050,Alaska,Bethel,12,,,
02060,Alaska,Bristol Bay,30,,,
02068,Alaska,Denali,,,,
02070,Alaska,Dillingham,21,,,
02090,Alaska,Fairbanks North Star,32,26,24,32
02100,Alaska,Haines,14,,,
02105,Alaska,Hoonah-Angoon,,,,
02110,Alaska,Juneau,34,15,26,37
02122,Alaska,Kenai Peninsula,20,,,
02130,Alaska,Ketchikan Gateway,36,,36,38
02150,Alaska,Kodiak Island,39,,19,41
02158,Alaska,Kusilvak,19,,,
02164,Alaska,Lake and Peninsula,,,,
02170,Alaska,Matanuska-Susitna,31,23,28,31
02180,Alaska,Nome,4,,,
02185,Alaska,North Slope,,,,
02188,Alaska,Northwest Arctic,,,,
02195,Alaska,Petersburg,,,,
02198,Alaska,Prince of Wales-Hyder,,,,
02220,Alaska,Sitka,18,,,
02230,Alaska,Skagway,15,,,
02240,Alaska,Southeast Fairbanks,22,,,
02261,Alaska,Valdez-Cordova,,,,
02275,Alaska,Wrangell,,,,
02282,Alaska,Yakutat,,,,
02290,Alaska,Yukon-Koyukuk,28,,,
04001,Arizona,Apache,36,,25,25
04003,Arizona,Cochise,30,20,23,31
04005,Arizona,Coconino,38,22,37,41
04007,Arizona,Gila,35,36,28,37
04009,Arizona,Graham,36,,36,39
04011,Arizona,Greenlee,28,,34,24
04012,Arizona,La Paz,25,17,22,26
04013,Arizona,Maricopa,45,30,35,46
04015,Arizona,Mohave,36,28,31,37
04017,Arizona,Navajo,36,27,33,35
04019,Arizona,Pima,45,28,32,47
04021,Arizona,Pinal,40,30,31,42
04023,Arizona,Santa Cruz,31,,25,34
04025,Arizona,Yavapai,41,24,35,41
04027,Arizona,Yuma,38,24,27,43
05001,Arkansas,Arkansas,38,20,,41
05003,Arkansas,Ashley,40,27,,43
05005,Arkansas,Baxter,47,,34,47
05007,Arkansas,Benton,49,34,33,49
05009,Arkansas,Boone,44,,58,44
05011,Arkansas,Bradley,48,38,44,51
05013,Arkansas,Calhoun,31,17,,33
05015,Arkansas,Carroll,43,,21,43
05017,Arkansas,Chicot,21,11,,28
05019,Arkansas,Clark,48,38,,50
05021,Arkansas,Clay,31,,,
05023,Arkansas,Cleburne,45,,,
05025,Arkansas,Cleveland,41,36,,42
05027,Arkansas,Columbia,46,37,,49
05029,Arkansas,Conway,23,22,16,23
05031,Arkansas,Craighead,48,23,37,49
05033,Arkansas,Crawford,42,33,26,42
05035,Arkansas,Crittenden,39,24,43,46
05037,Arkansas,Cross,39,25,,42
05039,Arkansas,Dallas,30,30,,31
05041,Arkansas,Desha,35,20,,42
05043,Arkansas,Drew,41,32,,43
05045,Arkansas,Faulkner,45,35,31,46
05047,Arkansas,Franklin,39,,,
05049,Arkansas,Fulton,35,,,
05051,Arkansas,Garland,52,36,36,53
05053,Arkansas,Grant,52,43,,52
05055,Arkansas,Greene,44,,29,44
05057,Arkansas,Hempstead,39,22,19,43
05059,Arkansas,Hot Spring,54,45,,55
05061,Arkansas,Howard,41,32,24,42
05063,Arkansas,Independence,48,33,32,48
05065,Arkansas,Izard,41,,,
05067,Arkansas,Jackson,49,45,,49
05069,Arkansas,Jefferson,39,29,43,44
05071,Arkansas,Johnson,46,30,31,47
05073,Arkansas,Lafayette,29,22,,33
05075,Arkansas,Lawrence,25,,,
05077,Arkansas,Lee,33,23,,40
05079,Arkansas,Lincoln,40,22,,44
05081,Arkansas,Little River,44,29,,47
05083,Arkansas,Logan,27,23,,27
05085,Arkansas,Lonoke,47,34,45,48
05087,Arkansas,Madison,41,,10,41
05089,Arkansas,Marion,36,,37,36
05091,Arkansas,Miller,44,33,45,47
05093,Arkansas,Mississippi,41,35,20,43
05095,Arkansas,Monroe,24,17,,27
05097,Arkansas,Montgomery,27,,,
05099,Arkansas,Nevada,39,31,,42
05101,Arkansas,Newton,25,,,
05103,Arkansas,Ouachita,45,37,45,48
05105,Arkansas,Perry,41,,,
05107,Arkansas,Phillips,20,16,,24
05109,Arkansas,Pike,30,9,,30
05111,Arkansas,Poinsett,45,23,18,46
05113,Arkansas,Polk,36,,33,36
05115,Arkansas,Pope,45,34,33,45
05117,Arkansas,Prairie,26,11,,28
05119,Arkansas,Pulaski,49,33,36,52
05121,Arkansas,Randolph,39,,,
05123,Arkansas,St. Francis,41,28,49,47
05125,Arkansas,Saline,52,37,56,53
05127,Arkansas,Scott,38,,,
05129,Arkansas,Searcy,19,,,
05131,Arkansas,Sebastian,43,30,24,44
05133,Arkansas,Sevier,49,29,29,51
05135,Arkansas,Sharp,38,,31,38
05137,Arkansas,Stone,50,,,
05139,Arkansas,Union,41,26,30,45
05141,Arkansas,Van Buren,35,,,
05143,Arkansas,Washington,46,31,28,47
05145,Arkansas,White,45,30,32,46
05147,Arkansas,Woodruff,22,20,,22
05149,Arkansas,Yell,35,18,21,35
06001,California,Alameda,42,27,36,45
06003,California,Alpine,24,,,
06005,California,Amador,46,,39,46
06007,California,Butte,38,21,35,38
06009,California,Calaveras,37,25,32,38
06011,California,Colusa,39,44,36,40
06013,California,Contra Costa,44,26,33,48
06015,California,Del Norte,34,,27,35
06017,California,El Dorado,45,33,40,45
06019,California,Fresno,43,35,36,46
06021,California,Glenn,34,27,32,34
06023,California,Humboldt,38,33,37,38
06025,California,Imperial,31,22,30,33
06027,California,Inyo,37,,25,38
06029,California,Kern,36,24,32,38
06031,California,Kings,35,26,29,39
06033,California,Lake,27,19,23,27
06035,California,Lassen,30,7,31,30
06037,California,Los Angeles,37,23,30,39
06039,California,Madera,37,29,32,39
06041,California,Marin,46,31,39,46
06043,California,Mariposa,29,,31,29
06045,California,Mendocino,27,19,24,27
06047,California,Merced,39,31,36,42
06049,California,Modoc,17,,12,17
06051,California,Mono,35,,27,35
06053,California,Monterey,41,30,37,42
06055,California,Napa,42,30,31,44
06057,California,Nevada,46,22,46,46
06059,California,Orange,44,30,33,43
06061,California,Placer,48,38,43,48
