geoid,county,state,total_population
01001,Autauga County, Alabama,55049
01003,Baldwin County, Alabama,199510
01005,Barbour County, Alabama,26614
01007,Bibb County, Alabama,22572
01009,Blount County, Alabama,57704
01011,Bullock County, Alabama,10552
01013,Butler County, Alabama,20280
01015,Calhoun County, Alabama,115883
01017,Chambers County, Alabama,34018
01019,Cherokee County, Alabama,25897
01021,Chilton County, Alabama,43817
01023,Choctaw County, Alabama,13287
01025,Clarke County, Alabama,24847
01027,Clay County, Alabama,13483
01029,Cleburne County, Alabama,14991
01031,Coffee County, Alabama,50991
01033,Colbert County, Alabama,54377
01035,Conecuh County, Alabama,12697
01037,Coosa County, Alabama,10864
01039,Covington County, Alabama,37729
01041,Crenshaw County, Alabama,13896
01043,Cullman County, Alabama,81316
01045,Dale County, Alabama,49607
01047,Dallas County, Alabama,41426
01049,DeKalb County, Alabama,70937
01051,Elmore County, Alabama,80957
01053,Escambia County, Alabama,37875
01055,Etowah County, Alabama,103363
01057,Fayette County, Alabama,16783
01059,Franklin County, Alabama,31573
01061,Geneva County, Alabama,26765
01063,Greene County, Alabama,8587
01065,Hale County, Alabama,15159
01067,Henry County, Alabama,17187
01069,Houston County, Alabama,103891
01071,Jackson County, Alabama,52608
01073,Jefferson County, Alabama,659096
01075,Lamar County, Alabama,14066
01077,Lauderdale County, Alabama,92641
01079,Lawrence County, Alabama,33433
01081,Lee County, Alabama,153947
01083,Limestone County, Alabama,90257
01085,Lowndes County, Alabama,10565
01087,Macon County, Alabama,19684
01089,Madison County, Alabama,349973
01091,Marengo County, Alabama,20066
01093,Marion County, Alabama,30239
01095,Marshall County, Alabama,94534
01097,Mobile County, Alabama,414291
01099,Monroe County, Alabama,21975
01101,Montgomery County, Alabama,227392
01103,Morgan County, Alabama,119555
01105,Perry County, Alabama,9856
01107,Pickens County, Alabama,20042
01109,Pike County, Alabama,33277
01111,Randolph County, Alabama,22615
01113,Russell County, Alabama,58636
01115,St. Clair County, Alabama,86576
01117,Shelby County, Alabama,205951
01119,Sumter County, Alabama,13285
01121,Talladega County, Alabama,81057
01123,Tallapoosa County, Alabama,40958
01125,Tuscaloosa County, Alabama,202471
